applicant_id,academic_score,income_annual,employment_years,credit_score,credit_history_years,loan_amount_requested,loan_percent_income,existing_debt_ratio,prior_default_flag,documents_missing_ct,eligibility_criteria_met,loan_status,academic_score_scaled,income_annual_scaled,employment_years_scaled,credit_score_scaled,credit_history_years_scaled,loan_amount_requested_scaled,loan_percent_income_scaled,existing_debt_ratio_scaled,prior_default_flag_scaled,documents_missing_ct_scaled,eligibility_criteria_met_scaled
APP000000,74.6,18126.0,8.8,686.0,3.4,6063.0,0.334,0.064,0,1,1,0,0.7348643006263047,0.07442842360869181,0.22000000000000003,0.7018181818181818,0.11333333333333333,0.05414141007310148,0.057692307692307696,0.06853932584269663,0.0,0.5,1.0
APP000001,54.4,83677.0,1.6,743.0,9.2,3611.0,0.043,0.193,0,2,1,1,0.5240083507306889,0.4152735819133835,0.04,0.8054545454545454,0.30666666666666664,0.029452041001268702,0.006351446718419195,0.21348314606741572,0.0,1.0,1.0
APP000002,81.3,47343.0,0.1,574.0,0.0,12601.0,0.266,0.033,0,1,1,0,0.8048016701461378,0.22634789074402425,0.0025,0.49818181818181817,0.0,0.11997301488209114,0.04569513055751588,0.033707865168539325,0.0,0.5,1.0
APP000003,84.1,49072.0,7.2,655.0,4.6,4889.0,0.1,0.097,1,0,0,0,0.8340292275574112,0.23533816211606756,0.18,0.6454545454545455,0.15333333333333332,0.04232031737720764,0.016407904022582923,0.10561797752808989,1.0,0.0,0.0
APP000004,40.7,42172.0,1.2,744.0,9.4,18921.0,0.449,0.572,0,0,1,0,0.38100208768267224,0.19946027173602193,0.03,0.8072727272727273,0.31333333333333335,0.18360956159252473,0.0779816513761468,0.6393258426966292,0.0,0.0,1.0
APP000005,50.5,91314.0,0.3,665.0,2.9,23944.0,0.262,0.255,0,0,1,0,0.4832985386221294,0.4549836469615587,0.0075,0.6636363636363637,0.09666666666666666,0.23418651952393418,0.044989414255469304,0.28314606741573034,0.0,0.0,1.0
APP000006,71.9,76019.0,0.2,700.0,5.4,14887.0,0.196,0.445,0,0,1,0,0.7066805845511482,0.3754543232857908,0.005,0.7272727272727273,0.18000000000000002,0.14299091769539038,0.03334509527170078,0.49662921348314604,0.0,0.0,1.0
APP000007,65.3,45399.0,4.9,626.0,7.5,9504.0,0.209,0.095,0,0,1,1,0.6377870563674322,0.21623968510651573,0.12250000000000001,0.5927272727272728,0.25,0.08878909317920938,0.03563867325335215,0.10337078651685393,0.0,0.0,1.0
APP000008,69.7,24749.0,0.2,508.0,1.0,15248.0,0.616,0.474,1,1,1,0,0.6837160751565762,0.10886599867927765,0.005,0.3781818181818182,0.03333333333333333,0.1466258533540085,0.10744530698659138,0.5292134831460674,1.0,0.5,1.0
APP000009,57.2,25819.0,2.6,627.0,10.9,10095.0,0.391,0.26,0,0,1,0,0.5532359081419624,0.11442967153531372,0.065,0.5945454545454546,0.36333333333333334,0.09473991582254264,0.06774876499647142,0.28876404494382024,0.0,0.0,1.0
APP000010,83.2,77020.0,4.7,600.0,8.8,8244.0,0.107,0.251,0,0,1,1,0.8246346555323592,0.3806592172380264,0.11750000000000001,0.5454545454545454,0.29333333333333333,0.07610206013250902,0.01764290755116443,0.2786516853932584,0.0,0.0,1.0
APP000011,81.7,22774.0,9.2,640.0,8.5,7288.0,0.32,0.027,0,2,1,0,0.8089770354906054,0.09859660251977184,0.22999999999999998,0.6181818181818182,0.2833333333333333,0.06647602553517128,0.05522230063514467,0.02696629213483146,0.0,1.0,1.0
APP000012,71.0,45666.0,1.6,601.0,8.3,10740.0,0.235,0.136,0,0,1,0,0.697286012526096,0.21762800347339575,0.04,0.5472727272727272,0.27666666666666667,0.10123446845359164,0.0402258292166549,0.149438202247191,0.0,0.0,1.0
APP000013,86.9,196131.0,17.8,665.0,0.3,10029.0,0.051,0.652,0,1,1,1,0.8632567849686849,1.0,0.445,0.6636363636363637,0.01,0.09407535694866787,0.00776287932251235,0.7292134831460674,0.0,0.5,1.0
APP000014,77.0,64585.0,1.8,619.0,2.3,23658.0,0.366,0.389,0,1,1,0,0.7599164926931107,0.31600101914007456,0.045,0.58,0.07666666666666666,0.23130676440381015,0.0633380381086803,0.4337078651685393,0.0,0.5,1.0
