applicant_id,academic_score,income_annual,employment_years,credit_score,credit_history_years,loan_amount_requested,loan_percent_income,existing_debt_ratio,prior_default_flag,documents_missing_ct,eligibility_criteria_met,loan_status
APP000000,74.6,18126.0,8.8,686.0,3.4,6063.0,0.334,0.064,0,1,1,0
APP000001,54.4,83677.0,1.6,743.0,9.2,3611.0,0.043,0.193,0,2,1,1
APP000002,81.3,47343.0,0.1,574.0,0.0,12601.0,0.266,0.033,0,1,1,0
APP000003,84.1,,7.2,655.0,4.6,4889.0,0.143,0.097,1,0,0,0
APP000004,40.7,42172.0,1.2,744.0,9.4,18921.0,0.449,0.572,0,0,1,0
APP000005,50.5,91314.0,0.3,665.0,2.9,23944.0,0.262,0.255,0,0,1,0
APP000006,71.9,76019.0,0.2,700.0,5.4,14887.0,0.196,0.445,0,0,1,0
APP000007,65.3,45399.0,4.9,626.0,7.5,9504.0,0.209,0.095,0,0,1,1
APP000008,69.7,24749.0,0.2,508.0,1.0,15248.0,0.616,0.474,1,1,1,0
APP000009,57.2,25819.0,2.6,627.0,10.9,10095.0,0.391,0.26,0,0,1,0
APP000010,83.2,77020.0,4.7,600.0,8.8,8244.0,0.107,0.251,0,0,1,1
APP000011,81.7,22774.0,9.2,640.0,8.5,7288.0,0.32,0.027,0,2,1,0
APP000012,71.0,45666.0,1.6,601.0,8.3,10740.0,0.235,0.136,0,0,1,0
APP000013,86.9,244909.0,17.8,665.0,0.3,10029.0,0.041,0.652,0,1,1,1
APP000014,77.0,64585.0,1.8,619.0,2.3,23658.0,0.366,0.389,0,1,1,0
APP000015,57.1,76523.0,2.8,723.0,2.3,14797.0,0.193,0.331,0,0,1,0
APP000016,75.5,25936.0,13.9,705.0,3.8,3922.0,0.151,0.015,0,2,1,0
APP000017,55.6,23473.0,1.2,567.0,11.5,14059.0,0.599,0.085,0,1,1,0
APP000018,83.2,79023.0,1.2,763.0,5.9,10595.0,0.134,0.181,0,0,1,1
APP000019,69.3,41381.0,8.4,585.0,0.9,12099.0,0.292,0.382,0,0,1,0
APP000020,67.2,99129.0,0.2,549.0,4.4,8344.0,0.084,0.399,0,0,1,0
APP000021,59.8,53417.0,3.8,745.0,5.0,10181.0,0.191,0.144,0,1,1,1
APP000022,88.3,400000.0,1.6,597.0,2.3,31437.0,0.079,0.199,0,0,1,1
APP000023,67.7,36924.0,0.4,659.0,16.2,7684.0,0.208,0.455,0,2,1,0
APP000024,63.6,61913.0,3.6,534.0,2.9,6358.0,0.103,0.667,0,1,1,0
APP000025,64.7,30440.0,1.2,617.0,4.5,6081.0,0.2,0.201,0,2,1,0
APP000026,78.0,96688.0,2.8,640.0,3.0,4703.0,0.049,0.059,0,0,0,0
APP000027,75.5,67799.0,,615.0,0.1,15124.0,0.223,0.181,0,1,1,0
APP000028,76.2,29240.0,1.8,604.0,5.1,22588.0,0.773,0.382,0,0,1,0
APP000029,76.5,43029.0,16.3,654.0,8.2,6545.0,0.152,0.144,0,2,0,0
APP000030,100.0,118551.0,5.5,739.0,13.9,14382.0,0.121,0.035,0,0,0,1
APP000031,63.9,110307.0,2.3,565.0,2.1,20490.0,0.186,0.395,0,1,1,0
APP000032,62.3,22278.0,5.4,423.0,2.2,11617.0,0.521,0.222,0,1,1,0
APP000033,57.8,39357.0,0.3,762.0,10.9,10042.0,0.255,0.261,1,1,1,0
APP000034,79.2,155257.0,4.1,591.0,1.1,6255.0,0.04,0.191,1,2,0,0
APP000035,86.9,47084.0,5.1,598.0,1.7,15313.0,0.325,0.25,0,0,1,1
APP000036,68.3,58108.0,5.8,601.0,11.4,8393.0,0.144,0.315,0,0,1,0
APP000037,57.4,96390.0,1.1,530.0,10.6,15089.0,0.157,0.024,1,1,1,0
APP000038,57.6,23405.0,,614.0,2.3,6919.0,0.296,0.306,0,0,1,0
APP000039,79.8,29619.0,5.4,625.0,1.6,12430.0,0.42,0.111,1,0,1,0
APP000040,81.1,42864.0,3.6,689.0,2.0,21229.0,0.495,0.346,0,0,1,1
APP000041,78.1,107235.0,11.9,601.0,0.8,13887.0,0.13,0.137,0,0,1,1
APP000042,60.0,,9.2,430.0,2.9,6341.0,0.066,0.089,0,0,1,0
APP000043,73.5,80166.0,0.7,530.0,1.9,4599.0,0.057,0.297,0,0,1,1
APP000044,71.8,47882.0,1.2,750.0,6.1,10405.0,0.217,0.425,0,1,0,0
APP000045,73.3,102513.0,2.6,574.0,2.5,26159.0,0.255,0.421,0,1,1,0
APP000046,83.1,47497.0,4.4,699.0,0.5,17227.0,0.363,0.143,0,1,0,0
APP000047,73.4,73628.0,3.7,586.0,8.5,39523.0,0.537,0.085,0,0,1,0
APP000048,80.2,89969.0,1.2,723.0,13.5,67416.0,0.749,0.465,0,2,1,0
APP000049,71.0,144075.0,2.5,659.0,13.0,9231.0,0.064,0.153,0,1,1,0
APP000050,74.3,50322.0,2.6,519.0,10.1,15437.0,0.307,0.318,0,2,1,0
APP000051,79.5,41875.0,,545.0,6.1,9875.0,0.236,0.231,0,0,1,0
APP000052,48.1,113215.0,5.0,516.0,2.2,6766.0,0.06,0.166,0,2,1,0
APP000053,65.2,118553.0,5.3,732.0,1.1,13490.0,0.114,0.169,0,0,1,1
APP000054,62.9,37571.0,2.1,537.0,1.0,11833.0,0.315,0.521,0,1,0,0
APP000055,60.4,26822.0,4.8,617.0,3.1,9576.0,0.357,0.226,0,2,1,0
APP000056,65.9,108166.0,3.6,643.0,7.8,7740.0,0.072,0.294,0,2,1,0
APP000057,92.4,19438.0,2.0,670.0,9.5,10890.0,0.56,0.786,0,1,1,0
APP000058,57.0,18851.0,23.3,609.0,2.0,7661.0,0.406,0.223,0,0,1,0
APP000059,84.5,44313.0,8.6,508.0,7.0,8994.0,0.203,0.139,0,0,1,1
APP000060,44.8,52128.0,4.1,541.0,3.9,4573.0,0.088,0.172,1,0,1,0
APP000061,65.0,25953.0,6.1,555.0,2.8,5613.0,0.216,0.265,0,0,1,0
