applicant_id,academic_score,income_annual,employment_years,credit_score,credit_history_years,loan_amount_requested,loan_percent_income,existing_debt_ratio,prior_default_flag,documents_missing_ct,eligibility_criteria_met,loan_status,academic_score_scaled,income_annual_scaled,employment_years_scaled,credit_score_scaled,credit_history_years_scaled,loan_amount_requested_scaled,loan_percent_income_scaled,existing_debt_ratio_scaled
APP000000,74.6,18126.0,8.8,686.0,7.7,10436.0,0.576,0.291,0,0,1,0,0.7348643006263047,0.0743950593863733,0.22000000000000003,0.7018181818181818,0.25666666666666665,0.09821887050816057,0.05528612997090203,0.324354657687991
APP000001,54.4,83677.0,1.6,743.0,4.0,9351.0,0.112,0.344,0,1,1,1,0.5240083507306889,0.41508742614871474,0.04,0.8054545454545454,0.13333333333333333,0.08729447537731955,0.010281280310378272,0.3838383838383838
APP000002,81.3,47343.0,0.1,574.0,0.6,10012.0,0.211,0.154,0,0,1,1,0.8048016701461378,0.22624642518850188,0.0025,0.49818181818181817,0.02,0.09394979812523284,0.019883608147429677,0.17059483726150393
APP000003,84.1,49127.5,7.2,655.0,3.2,19410.0,0.567,0.254,0,2,1,0,0.8340292275574112,0.23552112013575513,0.18,0.6454545454545455,0.10666666666666667,0.18857419023550379,0.05441319107662463,0.2828282828282828
APP000004,40.7,42172.0,1.2,744.0,7.3,3021.0,0.072,0.057,0,1,1,0,0.38100208768267224,0.19937085916314654,0.03,0.8072727272727273,0.24333333333333332,0.0235604466416295,0.006401551891367603,0.06172839506172839
APP000005,50.5,91314.0,0.3,665.0,0.0,38075.0,0.417,0.166,0,2,1,0,0.4832985386221294,0.45477969026312953,0.0075,0.6636363636363637,0.0,0.37650399218679204,0.03986420950533462,0.1840628507295174
APP000006,71.9,76019.0,0.2,700.0,5.7,12021.0,0.158,0.178,0,0,1,1,0.7066805845511482,0.37528601740337125,0.005,0.7272727272727273,0.19,0.11417754910943526,0.014742967992240542,0.19753086419753085
APP000007,65.3,45399.0,4.9,626.0,12.7,50994.0,1.123,0.504,1,0,1,0,0.6377870563674322,0.21614275078252804,0.12250000000000001,0.5927272727272728,0.4233333333333333,0.5065798084958568,0.10834141610087293,0.5634118967452301
APP000008,69.7,24749.0,0.2,508.0,3.2,12568.0,0.508,0.102,0,2,1,0,0.6837160751565762,0.10881719703594367,0.005,0.3781818181818182,0.10666666666666667,0.11968505522608967,0.048690591658583894,0.11223344556677889
APP000009,57.2,25819.0,2.6,627.0,2.1,10618.0,0.411,0.402,0,0,1,1,0.5532359081419624,0.11437837584993132,0.065,0.5945454545454546,0.07,0.10005134969139842,0.039282250242483024,0.4489337822671156
