applicant_id,academic_score,income_annual,employment_years,credit_score,credit_history_years,loan_amount_requested,loan_percent_income,existing_debt_ratio,prior_default_flag,documents_missing_ct,eligibility_criteria_met,loan_status
APP000000,74.6,18126.0,8.8,686.0,7.7,10436.0,0.576,0.291,0,0,1,0
APP000001,54.4,83677.0,1.6,743.0,4.0,9351.0,0.112,0.344,0,1,1,1
APP000002,81.3,47343.0,0.1,574.0,0.6,10012.0,0.211,0.154,0,0,1,1
APP000003,84.1,,7.2,655.0,3.2,19410.0,0.567,0.254,0,2,1,0
APP000004,40.7,42172.0,1.2,744.0,7.3,3021.0,0.072,0.057,0,1,1,0
APP000005,50.5,91314.0,0.3,665.0,0.0,38075.0,0.417,0.166,0,2,1,0
APP000006,71.9,76019.0,0.2,700.0,5.7,12021.0,0.158,0.178,0,0,1,1
APP000007,65.3,45399.0,4.9,626.0,12.7,50994.0,1.123,0.504,1,0,1,0
APP000008,69.7,24749.0,0.2,508.0,3.2,12568.0,0.508,0.102,0,2,1,0
APP000009,57.2,25819.0,2.6,627.0,2.1,10618.0,0.411,0.402,0,0,1,1
APP000010,83.2,77020.0,4.7,600.0,8.0,16340.0,0.212,0.26,0,2,1,0
APP000011,81.7,22774.0,9.2,640.0,9.2,4395.0,0.193,0.63,0,1,1,0
APP000012,71.0,45666.0,1.6,601.0,18.9,4990.0,0.109,0.264,0,0,1,0
APP000013,86.9,244909.0,17.8,665.0,1.9,9156.0,0.037,0.153,0,0,0,1
APP000014,77.0,64585.0,1.8,619.0,13.2,11108.0,0.172,0.192,0,1,0,0
APP000015,57.1,76523.0,2.8,723.0,10.0,21690.0,0.283,0.154,0,0,1,1
APP000016,75.5,25936.0,13.9,705.0,2.4,11123.0,0.429,0.554,0,0,0,0
APP000017,55.6,23473.0,1.2,567.0,2.1,29112.0,1.24,0.517,0,1,1,0
APP000018,83.2,79023.0,1.2,763.0,12.5,1618.0,0.02,0.1,0,2,1,1
APP000019,69.3,41381.0,8.4,585.0,20.1,37336.0,0.902,0.13,0,1,1,0
APP000020,67.2,99129.0,0.2,549.0,1.0,7903.0,0.08,0.202,0,0,0,0
APP000021,59.8,53417.0,3.8,745.0,22.6,16987.0,0.318,0.329,0,2,0,0
APP000022,88.3,400000.0,1.6,597.0,13.8,24392.0,0.061,0.359,1,1,1,1
APP000023,67.7,36924.0,0.4,659.0,7.7,4192.0,0.114,0.081,1,0,1,1
APP000024,63.6,,3.6,534.0,1.5,28962.0,0.468,0.108,0,1,0,0
APP000025,64.7,30440.0,1.2,617.0,3.2,17848.0,0.586,0.225,0,2,1,0
APP000026,78.0,96688.0,2.8,640.0,2.2,36475.0,0.377,0.207,0,1,1,0
APP000027,75.5,67799.0,2.1,615.0,6.3,11114.0,0.164,0.449,0,0,1,0
APP000028,76.2,29240.0,1.8,604.0,2.7,10506.0,0.359,0.335,0,1,1,0
APP000029,76.5,43029.0,16.3,654.0,3.2,6266.0,0.146,0.339,0,1,1,0
APP000030,100.0,118551.0,5.5,739.0,4.4,6430.0,0.054,0.352,0,0,1,1
APP000031,63.9,110307.0,2.3,565.0,5.7,10065.0,0.091,0.159,0,2,0,0
APP000032,62.3,22278.0,5.4,423.0,8.1,15844.0,0.711,0.108,0,0,1,0
APP000033,57.8,39357.0,0.3,762.0,3.3,17812.0,0.453,0.379,0,0,1,0
